Type,A,B
RA,It was clearly a mistake to include Tom in our football team.,"He's just not a team player, and often goes it alone."
RA,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"Plus everyone has to move approx. 3-10 times in his or her life,"
CA,Hence it is good when shops are not open on Sundays and public holidays.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't."
RA,the statutory retirement age should in the future not remain at 63 years.,"and furthermore, due to today's healthcare most people in many occupations are fitter for work in old age than before."
RA,Fear of punishment hence does not deter murderers.,Despite the death penalty there are significantly more homicides in the US than in Germany.
RA,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"in general, however, a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine."
CA,Anti-virus software protects the users of a computer from dangers from the internet.,"Admittedly they do not generally prevent you from catching a virus,"
RA,The current tour of Tokio Hotel is breaking all records.,But at times even the online sales outlets haven't been coping with the demand.
RA,dispensing it without medical advice would be inappropriate.,"Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that, however, have fewer health effects."
RA,There should be much higher fines for dog dirt left on pavements.,Stepping in dog dirt is gross and absolutely ruins your day
RA,"The implementation of retirement at 63 is no longer socially sustainable,",and constantly declining birth rates are being recorded.
RA,you should buy IBM shares if you want to invest.,"and in addition, such a share is not as sensitive as those of other IT companies."
RA,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",Voters have become more sceptical.
RA,Tuition fees should not generally be charged by universities.,"Universities are for all citizens, independent of their finances."
RA,I think Fritz has never been in a fight in his life.,And he always chickens out when things get dicey.
RA,The prototype of Audi's new sports car has car lovers raving.,But aside from that the car caters to pretty much every wish.
CA,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"Even though politicians stress the Christian character of our country,"
RA,"If this carries more weight, many good individual assignments done during the course of study may be obscured.",But one can make occasional mistakes in the thesis.
RA,"Dog owners should pay higher fines for dog dirt left on pavements,","The city, especially the green spaces, should be kept tidy after all,"
RA,so this has hardly any effect on the level of full-time employment and the number of unemployed.,"However it's mainly temps (that is, students, pupils etc.) who are employed,"
RA,That's why causing such obstacles must to be more urgently punished.,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
RA,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,And it’s only the large companies that can afford the additional personnel expenditure.
RA,dispensing it without medical advice would be inappropriate.,"Since the impact of the morning-after pill is so massive, particularly due to its abortive effect,"
RA,We urgently need a midfield replacement for the coming match.,Schweinsteiger has now been injured for three days.
RA,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",These areas will be upgraded economically due to these factors (housing health and employment).
RA,"Besides, the purchase of such CDs is unnecessary today,","as, due to changed terms of business, many banks urge their customers to turn themselves in."
CA,School uniforms should not be worn in our schools.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.
CA,Health insurance companies should naturally cover alternative medical treatments.,"Not all practices and approaches that are lumped together under this term may have been proven in clinical trials,"
CA,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,","Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
RA,"Various skills are promoted and required by different games,","including planning abilities, reaction time, and reasoning to name but a few."
RA,"as they can adjust their expenses through the increase,","and also the tenants,"
CA,That's why causing such obstacles must to be more urgently punished.,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
